sms_content,is_phishing,dataset_source,has_url,has_email,has_phone_number,url_string,domain,tld,subdomain,is_ip_address_url,redirected_url,url_subcategory,domain_age_days,domain_registrar,sender,sender_type,brand,message_category,sms_length,num_special_chars,num_digits,num_all_caps_words,phishing_keywords_count,sms_content_cleaned_for_nlp
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,102,9,0,0,0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
Ok lar... Joking wif u oni...,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,23,6,0,0,0,ok lar joking wif u oni
Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's,1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,112,6,25,0,3,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
U dun say so early hor... U c already then say...,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,43,6,0,0,0,u dun say early hor u c already say
"Nah I don't think he goes to usf, he lives around here though",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,59,2,0,0,0,nah dont think goes usf lives around though
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, å£1.50 to rcv",1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,135,8,4,0,2,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send å£ rcv
Even my brother is not like to speak with me. They treat me like aids patent.,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,75,2,0,0,0,even brother like speak treat like aids patent
As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,152,6,1,0,1,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,128,6,19,0,8,winner valued network customer selected receivea å£ prize reward claim call claim code kl valid hours
Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,137,2,13,0,4,mobile months u r entitled update latest colour mobiles camera free call mobile update co free
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.",0,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,103,6,0,0,0,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",1,D1,False,False,False,unknown,unknown,unknown,unknown,False,unknown,unknown,0.0,unknown,unknown,unknown,unknown,unknown,87,8,22,0,2,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info
